timestamp_utc,lat,lon,altitude_m,ground_speed_mps,vertical_speed_mps,roll_deg,pitch_deg,yaw_deg,flight_mode,armed,battery_voltage,battery_remaining_pct,gps_fix,satellites,link_rssi
2025-12-06T17:51:39.073105,37.6188077,-122.3754160,5.60,1.50,2.98,-0.38,0.34,89.98,MANUAL,1,16.79,100.00,1,14,-45.2
2025-12-06T17:51:39.273105,37.6188118,-122.3754160,6.18,2.29,2.98,0.45,0.37,89.89,MANUAL,1,16.79,99.99,1,14,-45.2
2025-12-06T17:51:39.473105,37.6188172,-122.3754160,6.81,3.00,3.05,-0.12,0.37,89.92,MANUAL,1,16.80,99.99,1,14,-45.2
2025-12-06T17:51:39.673105,37.6188238,-122.3754160,7.37,3.66,2.97,0.44,0.86,89.89,MANUAL,1,16.81,99.98,1,15,-45.2
2025-12-06T17:51:39.873105,37.6188316,-122.3754159,7.98,4.33,3.06,0.62,0.26,89.90,MANUAL,1,16.80,99.98,1,14,-45.2
2025-12-06T17:51:40.073105,37.6188402,-122.3754159,8.56,4.79,3.03,0.45,0.65,89.94,MANUAL,1,16.79,99.98,1,13,-45.4
2025-12-06T17:51:40.273105,37.6188494,-122.3754159,9.13,5.12,2.90,1.34,0.35,90.04,MANUAL,1,16.79,99.97,1,14,-45.5
2025-12-06T17:51:40.473105,37.6188592,-122.3754160,9.72,5.47,3.05,0.61,0.09,90.06,MANUAL,1,16.79,99.97,1,14,-45.4
2025-12-06T17:51:40.673105,37.6188695,-122.3754160,10.30,5.73,3.03,1.47,0.49,90.02,MANUAL,1,16.79,99.96,1,13,-45.4
2025-12-06T17:51:40.873105,37.6188803,-122.3754160,10.90,6.03,2.97,1.03,0.64,90.06,MANUAL,1,16.78,99.96,1,16,-45.3
2025-12-06T17:51:41.073105,37.6188915,-122.3754160,11.47,6.21,3.03,1.04,0.62,90.09,MANUAL,1,16.81,99.96,1,15,-45.2
2025-12-06T17:51:41.273105,37.6189032,-122.3754160,12.05,6.52,3.03,1.31,0.35,90.15,MANUAL,1,16.81,99.95,1,11,-45.1
2025-12-06T17:51:41.473105,37.6189151,-122.3754161,12.66,6.64,2.99,1.95,0.80,90.25,MANUAL,1,16.79,99.95,1,14,-45.1
2025-12-06T17:51:41.673105,37.6189275,-122.3754162,13.24,6.88,2.92,1.44,0.42,90.40,MANUAL,1,16.79,99.94,1,13,-45.1
2025-12-06T17:51:41.873105,37.6189401,-122.3754163,13.82,7.00,2.98,1.44,0.72,90.47,MANUAL,1,16.78,99.94,1,14,-45.1
2025-12-06T17:51:42.073105,37.6189529,-122.3754165,14.40,7.16,3.06,1.54,0.95,90.46,MANUAL,1,16.79,99.94,1,13,-45.0
2025-12-06T17:51:42.273105,37.6189659,-122.3754166,15.00,7.24,2.97,1.98,1.10,90.50,MANUAL,1,16.79,99.93,1,14,-45.1
2025-12-06T17:51:42.473105,37.6189791,-122.3754168,15.60,7.32,3.04,2.13,0.89,90.60,MANUAL,1,16.79,99.93,1,14,-45.1
2025-12-06T17:51:42.673105,37.6189923,-122.3754170,16.17,7.36,3.01,2.46,1.15,90.74,MANUAL,1,16.78,99.92,1,13,-45.1
2025-12-06T17:51:42.873105,37.6190057,-122.3754172,16.75,7.43,2.97,2.57,0.96,90.82,MANUAL,1,16.79,99.92,1,13,-45.2
2025-12-06T17:51:43.073105,37.6190192,-122.3754175,17.38,7.55,3.00,2.07,1.10,90.91,MANUAL,1,16.79,99.92,1,13,-45.3
2025-12-06T17:51:43.273105,37.6190330,-122.3754178,17.95,7.65,2.95,2.25,0.99,90.99,MANUAL,1,16.80,99.91,1,11,-45.4
