timestamp_utc,lat,lon,altitude_m,ground_speed_mps,vertical_speed_mps,roll_deg,pitch_deg,yaw_deg,flight_mode,armed,battery_voltage,battery_remaining_pct,gps_fix,satellites,link_rssi
2025-12-06T16:53:15.015474,37.6188077,-122.3754160,5.59,1.52,3.00,-0.26,0.15,89.96,MANUAL,1,16.80,100.00,1,13,-45.1
2025-12-06T16:53:15.215474,37.6188119,-122.3754160,6.19,2.34,2.94,0.63,0.37,90.04,MANUAL,1,16.80,99.99,1,15,-45.0
2025-12-06T16:53:15.415474,37.6188173,-122.3754160,6.80,3.02,2.96,0.11,0.15,90.03,MANUAL,1,16.80,99.99,1,15,-44.9
2025-12-06T16:53:15.615474,37.6188240,-122.3754160,7.40,3.68,3.03,0.36,0.34,90.01,MANUAL,1,16.81,99.98,1,14,-44.8
2025-12-06T16:53:15.815474,37.6188315,-122.3754160,7.96,4.18,2.99,0.43,0.51,90.11,MANUAL,1,16.78,99.98,1,11,-44.7
2025-12-06T16:53:16.015474,37.6188399,-122.3754161,8.56,4.67,3.05,0.67,0.50,90.23,MANUAL,1,16.79,99.98,1,15,-44.6
2025-12-06T16:53:16.215474,37.6188489,-122.3754161,9.15,5.01,2.99,0.97,0.54,90.21,MANUAL,1,16.80,99.97,1,13,-44.7
2025-12-06T16:53:16.415474,37.6188584,-122.3754162,9.77,5.33,2.98,0.82,0.43,90.34,MANUAL,1,16.80,99.97,1,14,-44.7
2025-12-06T16:53:16.615474,37.6188686,-122.3754162,10.39,5.66,2.99,1.75,0.93,90.29,MANUAL,1,16.78,99.96,1,16,-44.7
2025-12-06T16:53:16.815474,37.6188793,-122.3754163,10.98,5.98,2.99,1.60,0.69,90.25,MANUAL,1,16.82,99.96,1,15,-44.6
2025-12-06T16:53:17.015474,37.6188906,-122.3754164,11.60,6.24,2.90,1.03,0.51,90.28,MANUAL,1,16.79,99.96,1,14,-44.7
2025-12-06T16:53:17.215474,37.6189022,-122.3754165,12.18,6.47,2.87,1.30,0.46,90.33,MANUAL,1,16.78,99.95,1,12,-44.8
2025-12-06T16:53:17.415474,37.6189143,-122.3754166,12.79,6.72,2.98,1.75,0.71,90.41,MANUAL,1,16.79,99.95,1,15,-44.7
2025-12-06T16:53:17.615474,37.6189266,-122.3754167,13.40,6.85,3.03,1.72,0.66,90.47,MANUAL,1,16.79,99.94,1,13,-44.7
2025-12-06T16:53:17.815474,37.6189390,-122.3754168,13.99,6.92,3.00,1.69,0.78,90.47,MANUAL,1,16.80,99.94,1,16,-44.8
2025-12-06T16:53:18.015474,37.6189517,-122.3754170,14.60,7.07,3.02,1.98,0.94,90.65,MANUAL,1,16.79,99.94,1,13,-44.8
2025-12-06T16:53:18.215474,37.6189645,-122.3754172,15.18,7.12,2.93,1.94,1.15,90.69,MANUAL,1,16.78,99.93,1,14,-44.6
2025-12-06T16:53:18.415474,37.6189773,-122.3754174,15.78,7.13,3.03,2.71,1.07,90.79,MANUAL,1,16.77,99.93,1,15,-44.6
2025-12-06T16:53:18.615474,37.6189904,-122.3754177,16.39,7.26,2.98,2.35,1.09,90.95,MANUAL,1,16.79,99.92,1,15,-44.6
2025-12-06T16:53:18.815474,37.6190035,-122.3754180,16.98,7.35,3.00,3.11,1.08,91.06,MANUAL,1,16.79,99.92,1,16,-44.6
2025-12-06T16:53:19.015474,37.6190167,-122.3754183,17.60,7.34,3.01,2.98,1.06,91.13,MANUAL,1,16.81,99.92,1,13,-44.6
2025-12-06T16:53:19.215474,37.6190301,-122.3754187,18.19,7.47,2.97,2.78,1.07,91.29,MANUAL,1,16.79,99.91,1,14,-44.6
2025-12-06T16:53:19.415474,37.6190436,-122.3754191,18.77,7.52,2.96,3.50,0.88,91.36,MANUAL,1,16.80,99.91,1,15,-44.6
2025-12-06T16:53:19.615474,37.6190572,-122.3754196,19.39,7.52,3.03,3.37,1.15,91.47,MANUAL,1,16.76,99.90,1,13,-44.6
2025-12-06T16:53:19.815474,37.6190708,-122.3754201,20.01,7.60,2.97,4.13,1.22,91.66,MANUAL,1,16.79,99.90,1,12,-44.7
2025-12-06T16:53:20.015474,37.6190845,-122.3754206,20.57,7.63,2.98,3.58,1.50,91.75,MANUAL,1,16.78,99.90,1,13,-44.7
2025-12-06T16:53:20.215474,37.6190983,-122.3754212,21.17,7.66,3.00,3.85,1.44,91.92,MANUAL,1,16.78,99.89,1,14,-44.9
2025-12-06T16:53:20.415474,37.6191122,-122.3754218,21.76,7.76,3.02,3.66,1.12,92.05,MANUAL,1,16.78,99.89,1,13,-44.9
2025-12-06T16:53:20.615474,37.6191260,-122.3754225,22.36,7.69,2.96,3.92,1.51,92.23,MANUAL,1,16.77,99.88,0,4,-44.9
2025-12-06T16:53:20.815474,37.6191399,-122.3754232,22.94,7.74,3.04,3.97,1.43,92.32,MANUAL,1,16.79,99.88,1,12,-45.0
2025-12-06T16:53:21.015474,37.6191538,-122.3754240,23.54,7.76,2.96,4.71,1.80,92.49,MANUAL,1,16.78,99.88,1,13,-44.9
2025-12-06T16:53:21.215474,37.6191678,-122.3754248,24.16,7.79,3.01,3.83,1.40,92.61,MANUAL,1,16.79,99.87,1,15,-44.9
2025-12-06T16:53:21.415474,37.6191819,-122.3754256,24.77,7.86,3.01,3.78,1.23,92.80,MANUAL,1,16.78,99.87,1,15,-44.7
2025-12-06T16:53:21.615474,37.6191959,-122.3754266,25.36,7.79,3.06,4.58,1.78,92.99,MANUAL,1,16.78,99.86,1,13,-44.7
